wl	n
4.0000	0.055
4.0161	0.055
4.0323	0.055
4.0486	0.055
4.0650	0.054
4.0816	0.054
4.0984	0.055
4.1152	0.054
4.1322	0.055
4.1494	0.054
4.1667	0.054
4.1841	0.054
4.2017	0.055
4.2194	0.055
4.2373	0.055
4.2553	0.055
4.2735	0.055
4.2918	0.055
4.3103	0.055
4.3290	0.055
4.3478	0.056
4.3668	0.056
4.3860	0.056
4.4053	0.056
4.4248	0.056
4.4444	0.056
4.4643	0.057
4.4843	0.057
4.5045	0.057
4.5249	0.057
4.5455	0.057
4.5662	0.058
4.5872	0.058
4.6083	0.058
4.6296	0.059
4.6512	0.059
4.6729	0.060
4.6948	0.060
4.7170	0.060
4.7393	0.061
4.7619	0.062
4.7847	0.062
4.8077	0.062
4.8309	0.063
4.8544	0.064
4.8780	0.064
4.9020	0.065
4.9261	0.065
4.9505	0.066
4.9751	0.066
5.0000	0.066
5.0251	0.066
5.0505	0.066
5.0761	0.067
5.1020	0.067
5.1282	0.067
5.1546	0.067
5.1813	0.067
5.2083	0.068
5.2356	0.067
5.2632	0.068
5.2910	0.068
5.3191	0.068
5.3476	0.068
5.3763	0.068
5.4054	0.068
5.4348	0.068
5.4645	0.067
5.4945	0.067
5.5249	0.068
5.5556	0.067
5.5866	0.068
5.6180	0.068
5.6497	0.068
5.6818	0.068
5.7143	0.068
5.7471	0.068
5.7803	0.068
5.8140	0.068
5.8480	0.068
5.8824	0.068
5.9172	0.068
5.9524	0.069
5.9680	0.070
6.0241	0.070
6.0606	0.070
6.0976	0.070
6.1350	0.070
6.1728	0.070
6.2112	0.070
6.2500	0.071
6.2893	0.071
6.3291	0.071
6.3694	0.071
6.4103	0.072
6.4516	0.072
6.4935	0.072
6.5359	0.072
6.5789	0.072
6.6225	0.072
6.6667	0.072
6.7114	0.072
6.7568	0.073
6.8027	0.073
6.8493	0.074
6.8966	0.075
6.9444	0.075
6.9930	0.075
7.0423	0.075
7.0922	0.076
7.1429	0.076
7.1942	0.077
7.2464	0.077
7.2993	0.078
7.3529	0.078
7.4074	0.078
7.4627	0.079
7.5188	0.083
7.5758	0.086
7.6336	0.088
7.6923	0.088
7.7519	0.088
7.8125	0.088
7.8740	0.091
7.9365	0.093
8.0000	0.096
8.0645	0.097
8.1301	0.098
8.1967	0.106
8.2645	0.110
8.3333	0.113
8.4034	0.120
8.4746	0.131
8.5470	0.144
8.6207	0.162
8.6957	0.242
8.7719	0.408
8.8496	0.620
8.9286	0.702
9.0090	0.566
9.0909	0.575
9.1743	0.771
9.2593	1.052
9.3458	1.355
9.4340	1.682
9.5238	2.074
9.6154	2.354
9.7087	1.845
9.8039	1.396
9.9010	1.254
10.0000	0.845
10.1010	0.216
10.2041	0.117
10.3093	0.144
10.4167	0.236
10.5263	0.377
10.6383	0.515
10.7527	0.676
10.8696	0.762
10.9890	0.633
11.1111	0.297
11.2360	0.119
11.3636	0.090
11.4943	0.073
11.6279	0.065
11.7647	0.062
11.9048	0.061
12.0482	0.062
12.1951	0.074
12.3457	0.113
12.6582	0.172
12.8205	0.144
12.9870	0.127
13.1579	0.142
13.3333	0.155
13.5135	0.148
13.6986	0.127
13.8889	0.130
14.0845	0.168
14.2857	0.222
14.4928	0.266
14.7059	0.289
14.9254	0.307
15.1515	0.343
15.3846	0.382
15.6250	0.417
15.8730	0.501
16.1290	0.653
16.3934	0.834
16.6667	1.014
16.9492	1.189
17.2414	1.404
17.5439	1.659
17.8571	1.936
18.1818	2.190
18.5185	2.159
18.8679	1.440
19.2308	0.661
19.6078	0.377
20.0000	0.396
20.4082	0.613
20.8333	1.379
21.2766	1.866
21.7391	0.957
22.2222	0.566
22.7273	0.777
23.2558	1.227
23.8095	0.883
24.3902	0.654
25.0000	0.344
25.6410	0.269
26.3158	0.313
27.0270	0.403
27.7778	0.447
28.5714	0.908
29.4118	0.903
30.3030	0.619
31.2500	0.437
32.2581	0.316
33.3333	0.325
34.4828	0.390
35.7143	0.799
37.0370	0.689
38.4615	0.294
40.0000	0.214
41.6667	0.230
43.4783	0.206
45.4545	0.171
47.6190	0.148
50.0000	0.286
52.6316	0.424
55.5556	0.279
58.8235	0.196
62.5000	0.168
66.6667	0.173
71.4286	0.197
76.9231	0.212
83.3333	0.206
90.9091	0.111
100.0000	0.059
111.1111	0.033
125.0000	0.026
142.8571	0.035
166.6667	0.073
200.0000	0.067
